                 DateTime ,             SA1 ,            QLD1 ,            VIC1 ,            TAS1 ,            NSW1 
      2018/11/26 18:30:00 ,       68.050000 ,      121.880000 ,      115.000000 ,      154.900000 ,      123.890000 
      2018/11/26 19:00:00 ,       65.780000 ,      111.670000 ,      120.660000 ,      122.390000 ,      171.100000 
      2018/11/26 19:30:00 ,      118.750000 ,      109.980000 ,       71.190000 ,      120.240000 ,      120.670000 
      2018/11/26 20:00:00 ,      115.600000 ,      128.920000 ,      120.500000 ,       82.440000 ,      129.590000 
      2018/11/26 20:30:00 ,       92.060000 ,      120.270000 ,      103.370000 ,      112.170000 ,      120.680000 
      2018/11/26 21:00:00 ,       93.920000 ,      107.550000 ,      100.140000 ,      111.020000 ,      101.500000 
      2018/11/26 21:30:00 ,       99.480000 ,      112.170000 ,       97.260000 ,      104.950000 ,      100.040000 
      2018/11/26 22:00:00 ,       88.710000 ,       92.560000 ,       89.790000 ,       96.060000 ,      103.150000 
      2018/11/26 22:30:00 ,       84.950000 ,       83.240000 ,       83.320000 ,       88.430000 ,       94.500000 
      2018/11/26 23:00:00 ,       75.740000 ,      140.580000 ,      131.100000 ,      125.180000 ,       74.990000 
      2018/11/26 23:30:00 ,       65.890000 ,      137.110000 ,       65.340000 ,      128.560000 ,      143.520000 
      2018/11/27 00:00:00 ,      144.170000 ,       59.690000 ,       61.170000 ,      133.150000 ,      154.450000 
      2018/11/27 00:30:00 ,       99.830000 ,       92.550000 ,      111.320000 ,       57.780000 ,       55.760000 
      2018/11/27 01:00:00 ,      158.150000 ,      149.550000 ,      176.050000 ,       58.870000 ,       55.080000 
      2018/11/27 01:30:00 ,       60.620000 ,       99.080000 ,       56.330000 ,      112.110000 ,       94.510000 
      2018/11/27 02:00:00 ,       55.880000 ,       60.520000 ,       68.330000 ,       70.430000 ,       81.480000 
      2018/11/27 02:30:00 ,       83.920000 ,       77.870000 ,       58.460000 ,       73.350000 ,       62.840000 
      2018/11/27 03:00:00 ,       72.580000 ,       78.280000 ,       57.700000 ,       62.270000 ,       67.470000 
      2018/11/27 03:30:00 ,       70.190000 ,       55.550000 ,       68.090000 ,       78.130000 ,       60.250000 
      2018/11/27 04:00:00 ,       64.220000 ,      147.710000 ,       59.580000 ,       68.500000 ,       78.120000 
      2018/11/27 04:30:00 ,      138.920000 ,       82.150000 ,       93.180000 ,       66.400000 ,       62.310000 
      2018/11/27 05:00:00 ,      104.570000 ,      120.370000 ,       57.950000 ,      109.310000 ,       56.050000 
      2018/11/27 05:30:00 ,       59.150000 ,      123.350000 ,       55.830000 ,      139.830000 ,      131.580000 
      2018/11/27 06:00:00 ,       61.560000 ,       64.110000 ,      103.610000 ,      115.890000 ,      124.920000 
      2018/11/27 06:30:00 ,       75.540000 ,       71.740000 ,      163.120000 ,      183.500000 ,      187.230000 
      2018/11/27 07:00:00 ,      159.800000 ,      164.590000 ,       90.380000 ,       96.690000 ,      142.850000 
      2018/11/27 07:30:00 ,       85.460000 ,       79.930000 ,      120.720000 ,      137.890000 ,      129.780000 
      2018/11/27 08:00:00 ,       85.770000 ,      147.620000 ,      159.910000 ,       91.590000 ,      155.690000 
      2018/11/27 08:30:00 ,       98.170000 ,      124.560000 ,      126.260000 ,      121.570000 ,      104.140000 
      2018/11/27 09:00:00 ,      137.050000 ,      115.550000 ,      133.360000 ,      137.050000 ,      120.910000 
      2018/11/27 09:30:00 ,      122.480000 ,      104.920000 ,      121.170000 ,      100.490000 ,      126.980000 
      2018/11/27 10:00:00 ,      154.570000 ,      166.240000 ,      160.840000 ,       87.450000 ,       91.670000 
      2018/11/27 10:30:00 ,      105.860000 ,       92.110000 ,       95.310000 ,      111.050000 ,       99.310000 
      2018/11/27 11:00:00 ,      114.640000 ,      120.200000 ,       91.450000 ,       87.840000 ,      118.980000 
      2018/11/27 11:30:00 ,      112.760000 ,       87.010000 ,       89.080000 ,      213.180000 ,      117.730000 
      2018/11/27 12:00:00 ,      114.310000 ,      111.080000 ,      110.360000 ,      121.590000 ,      125.650000 
      2018/11/27 12:30:00 ,      104.980000 ,      112.700000 ,      105.440000 ,      104.680000 ,      116.910000 
      2018/11/27 13:00:00 ,      102.880000 ,       89.760000 ,       95.580000 ,       88.670000 ,       96.390000 
      2018/11/27 13:30:00 ,       87.640000 ,       89.970000 ,      100.610000 ,       94.900000 ,       92.750000 
